group,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000104419,17.124619,3.8079183,9.72442872787779e-66,3.523160528110123e-62
0,ENSG00000146674,16.355116,3.9574552,3.9994973492434514e-60,7.245089448154512e-57
0,ENSG00000135245,15.457513,4.782624,6.714179711174462e-54,8.108491031195025e-51
0,ENSG00000197930,15.167591,3.2144551,5.796583388921166e-52,5.250255404515347e-49
0,ENSG00000176171,14.331096,1.6866647,1.398968196759558e-46,1.0136923553719756e-43
0,ENSG00000147872,13.888178,1.6845483,7.471157043609923e-44,4.5113336614997917e-41
0,ENSG00000185633,13.805796,3.76521,2.351604855945418e-43,1.2171234847271785e-40
0,ENSG00000152952,13.244512,3.2147386,4.854321192438008e-40,2.198400710025363e-37
0,ENSG00000183696,13.125238,3.0794473,2.360395332389245e-39,9.501902543606927e-37
0,ENSG00000168209,13.113695,2.8168628,2.7487083110719892e-39,9.958570211013818e-37
0,ENSG00000125629,12.282632,3.0721095,1.1228494741515045e-34,3.6982578589553646e-32
0,ENSG00000034510,12.188028,0.8416572,3.600269006018109e-34,1.0869812174003008e-31
0,ENSG00000160213,12.121942,1.4506743,8.082150164360453e-34,2.2524330804213783e-31
0,ENSG00000113083,12.009911,5.742758,3.151844526003162e-33,8.15652336979247e-31
0,ENSG00000107159,11.98841,5.259256,4.086739839529121e-33,9.870838959076005e-31
0,ENSG00000148926,11.754164,3.1394928,6.722262183349113e-32,1.522172243142115e-29
0,ENSG00000112715,11.51177,2.5535321,1.1509081373455532e-30,2.194600095580494e-28
0,ENSG00000104765,11.356512,2.81034,6.883855378081611e-30,1.084356871077812e-27
0,ENSG00000114023,11.226149,1.8033653,3.0341635618789946e-29,4.397109833875039e-27
0,ENSG00000079950,11.116156,2.5590978,1.0468668481747996e-28,1.4047402188656664e-26
0,ENSG00000133636,11.100312,2.5911438,1.2500584816837678e-28,1.5617109928069968e-26
0,ENSG00000124766,10.608736,2.0020304,2.71396290425233e-26,2.8093393148874834e-24
0,ENSG00000106366,10.552608,3.141306,4.940670020008209e-26,4.8378506709431734e-24
0,ENSG00000111674,10.455288,4.658591,1.3857750106910617e-25,1.3212270694036096e-23
0,ENSG00000164442,10.351178,2.6361182,4.1336600464794156e-25,3.652743987413396e-23
0,ENSG00000166920,10.179399,2.9671805,2.450724067848603e-24,2.0648775111198812e-22
0,ENSG00000181467,9.472134,3.668503,2.741839836449928e-21,1.8742803259354885e-19
0,ENSG00000114480,9.361688,2.2073154,7.84730898687848e-21,5.169236447174678e-19
0,ENSG00000161638,9.079687,2.6689296,1.088872476411796e-19,6.467188495147437e-18
0,ENSG00000138640,9.041212,2.9761698,1.5494405134040694e-19,8.910512666766577e-18
0,ENSG00000277443,8.914471,2.0294538,4.901533402551873e-19,2.6115081643302114e-17
0,ENSG00000163191,8.800856,1.601044,1.3577712794463795e-18,6.779533822393817e-17
0,ENSG00000076641,8.794518,2.5586293,1.4366285658832522e-18,7.033655802966248e-17
0,ENSG00000166833,8.786144,2.8743193,1.5478066049690166e-18,7.47693777307033e-17
0,ENSG00000181458,8.756043,2.7569184,2.022242196104304e-18,9.640241416428806e-17
0,ENSG00000122884,8.639259,2.4980001,5.6578406233125345e-18,2.594728680792571e-16
0,ENSG00000205542,8.607574,0.5856457,7.462277015171883e-18,3.3794787032459663e-16
0,ENSG00000106070,8.532434,3.0011246,1.4329958908293327e-17,6.331395259115454e-16
0,ENSG00000116285,8.377176,1.5532453,5.421276918304278e-17,2.2068860983164495e-15
0,ENSG00000175197,8.301131,1.2936512,1.0312497974648509e-16,4.01743872711307e-15
0,ENSG00000164266,8.270124,1.9758943,1.3381924866481203e-16,5.103443556974884e-15
0,ENSG00000101255,8.21558,2.4189634,2.1114080323364655e-16,7.726900304196985e-15
0,ENSG00000067225,8.1972475,1.637423,2.459527798361267e-16,8.91086921346287e-15
0,ENSG00000141526,7.9955926,3.2457674,1.2895190041301942e-15,4.4922378384266283e-14
0,ENSG00000130513,7.910495,1.4859937,2.5636791556683857e-15,8.600194056469038e-14
0,ENSG00000143153,7.775605,1.2098191,7.508744787382269e-15,2.428944853989818e-13
0,ENSG00000064042,7.7448254,2.7719717,9.571340234349847e-15,3.02076393226215e-13
0,ENSG00000119938,7.5723658,2.506115,3.664873290277966e-14,1.0794988561526073e-12
0,ENSG00000182240,7.5667076,2.583818,3.828015317534296e-14,1.1184596367279639e-12
0,ENSG00000188536,7.556297,1.6173686,4.1470662137696636e-14,1.2019856713989994e-12
0,ENSG00000130821,7.4320445,2.8590765,1.0693161660853849e-13,2.9801018997902686e-12
0,ENSG00000100097,7.2392163,1.1734138,4.5128499560518363e-13,1.1762629777536548e-11
0,ENSG00000115009,7.15955,1.7643002,8.094231180311376e-13,2.0651689835400084e-11
0,ENSG00000061656,7.140086,2.7407753,9.327247417702274e-13,2.363120097505968e-11
0,ENSG00000110492,6.9757743,1.6423385,3.041903139508634e-12,7.34721004962652e-11
0,ENSG00000160310,6.957216,2.1040208,3.4706291469475396e-12,8.327211522775454e-11
0,ENSG00000134107,6.8383956,2.0890725,8.00850425779003e-12,1.8480771290428838e-10
0,ENSG00000138166,6.83319,2.8899913,8.304681711914328e-12,1.9042950533079498e-10
0,ENSG00000157557,6.7268176,1.7849663,1.7341398935970855e-11,3.902353313355429e-10
0,ENSG00000117394,6.7148223,4.057361,1.8829551734229588e-11,4.159723532506939e-10
0,ENSG00000046604,6.626782,2.6377888,3.430835331469695e-11,7.195942316468467e-10
0,ENSG00000072274,6.5407786,1.6313711,6.119930866878004e-11,1.2526841542767801e-09
0,ENSG00000160181,6.5050197,1.6175429,7.76833090815786e-11,1.5549537502903826e-09
0,ENSG00000229807,6.415848,1.7862656,1.4004146562606928e-10,2.6844985712341217e-09
0,ENSG00000197956,6.388236,1.4420989,1.678101864487832e-10,3.166543257833029e-09
0,ENSG00000176046,6.3769197,0.50134695,1.806850094310201e-10,3.391822741806144e-09
0,ENSG00000162433,6.340708,1.8787156,2.2871183518408551e-10,4.271252468412071e-09
0,ENSG00000129521,6.328034,3.5531802,2.4830490599959555e-10,4.613377817623254e-09
0,ENSG00000120063,6.3074384,2.4048672,2.836918366200886e-10,5.2439567554825555e-09
0,ENSG00000115414,6.305854,0.9222668,2.8660929022526315e-10,5.27099217505649e-09
0,ENSG00000070404,6.2986116,2.6704009,3.003236173089143e-10,5.49531548237473e-09
0,ENSG00000166165,6.207176,1.4680382,5.394503176468893e-10,9.68932721980608e-09
0,ENSG00000159167,6.1112146,3.5343034,9.887556684303974e-10,1.730561249624797e-08
0,ENSG00000159216,6.0430913,3.0454361,1.5118919802896385e-09,2.596011679900171e-08
0,ENSG00000144891,6.036075,1.4483428,1.5790781263795792e-09,2.698584930128875e-08
0,ENSG00000110244,5.950072,3.8677132,2.6802496362009164e-09,4.434038553404529e-08
0,ENSG00000145730,5.8482256,3.3430846,4.968440629476074e-09,8.1450952038877e-08
0,ENSG00000113739,5.840078,3.781133,5.2176377409154355e-09,8.515090781683163e-08
0,ENSG00000196470,5.780781,2.4506438,7.4354627128854295e-09,1.197274729279285e-07
0,ENSG00000142156,5.7785177,2.9490805,7.53615886848912e-09,1.2027975145610608e-07
0,ENSG00000171791,5.755885,3.940337,8.618888910098115e-09,1.3576623704906728e-07
0,ENSG00000109472,5.7303104,1.8883061,1.002468806481398e-08,1.5324660277983566e-07
0,ENSG00000137731,5.7232947,1.5813012,1.0447787609176625e-08,1.5904342230271809e-07
0,ENSG00000166173,5.7155995,1.9711715,1.0931790335657289e-08,1.6571496395852032e-07
0,ENSG00000054277,5.699304,2.0647266,1.2029741542954824e-08,1.8009815541374103e-07
0,ENSG00000170525,5.6431756,3.8398824,1.6694182754149623e-08,2.438831617672745e-07
